X,F,G
"[2.5080555165742893, 1.4320958780235682, 2.9389850936725197]","[6.879136488270378, 52.636607367312905, 1.6507303263781918]","[-3.120863511729622, -5.839509081767667, -5.933389978447146, -5.9692474296870115, -6.159876357993507, -6.134037324445747, -5.993072443956959, -9.692340177910268, -9.61937225085736, -9.627161972529096, -9.827221627179807, -9.82724616015771, -9.577021030837008, -48.832677964089136, -48.6232586326671, -49.267680610832294, -49.384868788527584, -49.61919492206976, -48.35964173243215, -99.57476057838635, -61.40482914362677, -82.69116581698299, -98.49923130798346, -99.90949618461573, -99.9999149312445]"
"[3.971770826425344, 1.5700992689924593, 4.409728105375926]","[9.951598200793729, 55.38518664007376, 0.5899736791492445]","[-0.04840179920627108, -5.955467219874774, -6.000582372133347, -6.053430713648466, -6.185827964123027, -6.172106560708891, -6.04011350491007, -9.873370728162222, -9.767350226427652, -9.826789864756774, -9.903565745034156, -9.91645093151295, -9.744476834948456, -49.909198255307935, -49.379183542783345, -49.624347053032054, -49.76087196730548, -49.80915578773894, -49.3248642447957, -99.80989693718044, -60.34359647244611, -82.78513518451658, -98.50429924153312, -99.90839739961524, -99.9999652802844]"
"[0.9712919544268157, 1.0, 1.0]","[2.9712919544268157, 67.14275020247568, 24.646895806726913]","[-7.028708045573184, -5.120772893330623, -5.411089696146035, -5.358029804473472, -6.049551287972758, -5.850217072636781, -5.741663240019993, -7.08100915516027, -7.9304358848835275, -7.522586125630385, -9.26971812080027, -8.856646064343458, -8.276205726340265, -16.469865408100077, -32.22283338120715, -38.67650775135053, -43.629686497837554, -44.29657344168484, -31.472585569379, -96.1081265655406, -56.34233714536871, -81.97416342603825, -98.4552180624598, -99.87058724835481, -99.99939595169323]"
"[1.0369965393189322, 1.0, 1.1134281672302058]","[3.1504247065491375, 63.79007475792363, 19.859334463200664]","[-6.8495752934508625, -5.201145037730829, -5.494986947834977, -5.45106322202453, -6.057351007451059, -5.89396705501999, -5.769817526789357, -7.562028070333511, -8.213863688547766, -7.843790951881678, -9.331082495968092, -9.006304686097987, -8.446164246462429, -24.240257397729664, -36.37124672731818, -41.950070976937894, -44.58473993333706, -45.89325339699056, -34.89916908070792, -96.90339999369166, -57.50818388710075, -82.10071021224283, -98.46314217490017, -99.88197548369011, -99.99948557803525]"
"[0.9800330163543037, 1.0, 1.0104418712885326]","[2.9904748876428364, 66.69481845709214, 24.06221495070308]","[-7.009525112357164, -5.132936082982364, -5.419796965128102, -5.368952405972527, -6.051059392700341, -5.8552666810888425, -5.744791512709666, -7.139480706220848, -7.963321273050132, -7.565995143070327, -9.27839585094212, -8.876657536922647, -8.294749940441358, -17.433592970271974, -32.62023095681067, -38.95390462183505, -43.751655385074656, -44.43428778586801, -31.85226950591827, -96.21443608393099, -56.47801768085026, -81.98731059144178, -98.45604481639111, -99.87196948141745, -99.99940647120593]"
"[3.0762982689345035, 1.3173117101078309, 3.0371620113756177]","[7.430771990417952, 53.27316875630108, 1.4102273011287996]","[-2.569228009582048, -5.886800639990661, -5.911816300986116, -5.963721077297057, -6.171346607157792, -6.1296281691814425, -5.992737608532262, -9.793345984877982, -9.589076017570806, -9.681040040986687, -9.849892584373446, -9.84609666207995, -9.583442949792149, -49.48147273991313, -48.42553783818889, -48.93900728359839, -49.484738247980886, -49.470399795104, -48.44166859767539, -99.64918016059347, -60.80391611534367, -82.67882495268836, -98.49819529531602, -99.90902236240527, -99.99993215807922]"
"[1.243962582366894, 1.0, 1.246149200852639]","[3.490111783219533, 58.27392698948383, 13.947876377164782]","[-6.5098882167804675, -5.409570822209918, -5.565133574638355, -5.570858959042345, -6.088452634178357, -5.947258285622519, -5.8028973725782, -8.248734216203795, -8.490824638640268, -8.429162415852872, -9.467357486467664, -9.270739043624477, -8.64547646244726, -33.806474087341925, -38.21181352825148, -42.15878772296057, -46.05580139015298, -46.07800606904925, -38.18683326449316, -97.69710754968438, -58.75928443822674, -82.18871824518422, -98.46859706876567, -99.89494486281161, -99.9996039620029]"
"[1.0331743755836733, 1.0, 1.0]","[3.0331743755836733, 65.03563039683326, 23.078047399605992]","[-6.966825624416327, -5.2123280978470685, -5.411962567662886, -5.384804488037761, -6.064955758282561, -5.861026272064307, -5.745466351457323, -7.263586488325281, -7.898650139114137, -7.742645867922831, -9.324446758766962, -8.9538262853813, -8.30203323103885, -19.25646535805714, -31.001281143068894, -36.78724039557838, -44.127680689627255, -43.436800226720834, -31.77852166383859, -96.53376953262836, -56.616874977828914, -81.96656516850302, -98.45472729696763, -99.87457291976625, -99.99942274560802]"
"[1.2409025867466155, 1.0, 1.1661664546846577]","[3.4070690414312734, 58.90319850577204, 15.478296939170395]","[-6.592930958568727, -5.414819539484271, -5.520867967966807, -5.529383176497136, -6.092481642623555, -5.927095820173682, -5.7914469848723735, -8.094987447904092, -8.297763029139615, -8.360111640767206, -9.463109073437746, -9.234915121923152, -8.572487168926584, -31.700995538825936, -35.8154176725598, -39.8645021689217, -45.84368767004055, -44.985865001259626, -36.78046817493829, -97.45184060764731, -58.298113418241876, -82.12526817667091, -98.4651155239581, -99.89126151212386, -99.99957240173043]"
"[2.9489388874845215, 1.5423233063487527, 3.6409740189378086]","[8.132236212771083, 52.962633132155524, 0.998553462496457]","[-1.8677637872289168, -5.898016684237269, -5.983341146620014, -6.0195638406443095, -6.168982114664064, -6.15981292744293, -6.017682603510172, -9.776952799751456, -9.721284991811988, -9.735167072916456, -9.864855663178155, -9.877434582504439, -9.67323197864033, -49.44311551157978, -49.170586369660086, -49.59480889684634, -49.59910662814106, -49.785739870759514, -48.96062397171433, -99.72937261039439, -61.30821814700484, -82.75024647433551, -98.50272174370248, -99.90979752427194, -99.99994166085615]"
"[1.5421574020198996, 1.0029903985415123, 1.9161510510289692]","[4.4612988515903815, 53.763506589344324, 6.161528990556353]","[-5.5387011484096185, -5.56572631258617, -5.772185509955999, -5.769380909486804, -6.091212801277955, -6.044778242523762, -5.854241873305174, -9.184705514087455, -9.156363284238214, -9.04373766049422, -9.590552524356236, -9.561085515504224, -9.05582946143284, -44.71566708373935, -45.766965444762874, -48.14066945613715, -47.77830006646178, -48.994332689150546, -44.398928744238056, -98.92733253133915, -60.64324886154928, -82.4655887042982, -98.48335064930404, -99.91233163843866, -99.99978714161524]"
"[1.3942613843415597, 1.0, 1.042154316825943]","[3.436415701167503, 58.67121246120813, 17.471338828888488]","[-6.563584298832497, -5.472130952595506, -5.434010656506981, -5.4518454235647456, -6.115752334681456, -5.889027155481337, -5.774328440417771, -7.954412622764313, -7.865963295469662, -8.086977343259273, -9.517721035070842, -9.082696211498334, -8.479658921218599, -29.92204283343861, -29.868394567953743, -33.35765607726552, -46.00211633784025, -41.93313911505675, -34.44599394358523, -97.05048708712002, -57.427558575575794, -81.99798530542732, -98.45947765502684, -99.88577795318564, -99.99953686623246]"
